cycle,queueSize,serverCount,totalGenerated,totalBlocked,totalProcessed
# cycle 1: added server
1,989,11,1002,3,0
2,988,11,1002,3,0
3,988,11,1002,3,0
4,989,11,1003,3,0
5,990,11,1004,3,3
6,988,11,1005,3,3
# cycle 7: added server
7,988,12,1005,3,3
8,988,12,1006,3,3
9,988,12,1006,3,3
10,989,12,1007,3,4
11,988,12,1007,3,5
12,990,12,1010,3,5
# cycle 13: added server
13,991,13,1011,3,8
14,987,13,1011,3,8
15,988,13,1012,3,8
16,988,13,1012,3,9
17,988,13,1013,3,9
18,988,13,1013,3,13
19,984,13,1013,3,14
20,985,13,1015,3,16
21,985,13,1017,3,18
22,983,13,1017,3,20
23,982,13,1018,3,20
24,982,13,1018,3,22
25,980,13,1018,3,25
26,977,13,1018,3,27
27,975,13,1018,3,29
28,976,13,1021,3,31
29,976,13,1023,3,33
30,974,13,1023,3,34
31,973,13,1023,3,35
32,972,13,1023,3,38
33,970,13,1024,3,38
34,972,13,1026,3,39
35,971,13,1026,3,39
36,971,13,1026,3,39
37,971,13,1026,3,40
38,970,13,1026,3,42
39,968,13,1026,3,43
40,967,13,1026,3,44
41,969,13,1029,3,44
42,972,13,1032,3,48
43,968,13,1032,3,48
44,968,13,1032,3,51
45,965,13,1032,3,55
46,961,13,1032,3,55
47,962,13,1033,3,55
48,964,13,1035,3,57
49,962,13,1035,3,58
50,962,13,1036,3,61
51,959,13,1036,3,61
52,959,13,1036,3,63
53,957,13,1036,3,64
54,956,13,1036,3,67
55,953,13,1036,3,69
56,953,13,1038,3,70
57,952,13,1038,3,71
58,953,13,1040,3,72
59,954,13,1042,3,72
60,954,13,1042,3,74
61,952,13,1042,3,74
62,952,13,1042,3,74
63,952,13,1042,3,76
64,953,13,1045,3,77
65,952,13,1045,3,78
66,951,13,1045,3,80
67,949,13,1045,3,81
68,951,13,1048,3,85
69,950,13,1051,3,85
70,950,13,1051,3,88
71,947,13,1051,3,88
72,947,13,1051,3,90
73,945,13,1051,3,91
74,944,13,1051,3,91
75,944,13,1051,3,91
76,946,13,1053,3,92
77,945,13,1053,3,93
78,944,13,1053,3,94
79,944,13,1054,3,94
80,944,13,1054,3,95
81,945,13,1056,3,97
82,943,13,1056,3,97
83,943,13,1056,3,98
84,942,13,1056,3,99
85,941,13,1056,3,100
86,940,13,1056,3,102
87,941,13,1059,3,103
88,943,13,1062,3,107
89,939,13,1062,3,107
90,939,13,1062,3,107
91,939,13,1062,3,109
92,938,13,1063,3,109
93,938,13,1063,3,109
94,938,13,1063,3,111
95,939,13,1066,3,113
96,940,13,1069,3,114
97,939,13,1069,3,115
98,938,13,1069,3,117
99,937,13,1070,3,118
100,936,13,1070,3,118
101,936,13,1070,3,119
102,935,13,1070,3,120
103,934,13,1070,3,122
104,932,13,1070,3,124
105,930,13,1070,3,124
106,933,13,1073,3,124
107,933,13,1073,3,124
108,935,13,1075,3,125
109,936,13,1077,3,126
110,935,13,1077,3,127
111,937,13,1080,3,132
112,935,13,1083,3,132
113,936,13,1084,3,132
114,936,13,1084,3,136
115,935,13,1087,3,138
116,935,13,1089,3,138
117,937,13,1091,3,139
118,936,13,1091,3,142
119,934,13,1092,3,142
120,937,13,1095,3,142
121,937,13,1095,3,142
122,939,13,1097,3,143
123,938,13,1097,3,144
124,937,13,1097,3,147
125,934,13,1097,3,150
126,932,13,1098,3,152
127,930,13,1098,3,153
128,929,13,1098,3,153
129,932,13,1101,3,154
130,934,13,1104,3,154
131,934,13,1104,3,155
132,935,13,1106,3,155
133,938,13,1109,3,157
134,936,13,1109,3,157
135,937,13,1110,3,160
136,934,13,1110,3,161
137,933,13,1110,3,162
138,932,13,1110,3,164
139,930,13,1110,3,166
140,931,13,1113,3,168
141,930,13,1114,3,168
142,932,13,1116,3,170
143,930,13,1116,3,171
144,931,13,1118,3,174
145,929,13,1119,3,174
146,929,13,1119,3,175
147,928,13,1119,3,175
148,928,13,1119,3,175
149,928,13,1119,3,177
150,928,13,1121,3,177
151,928,13,1121,3,180
152,925,13,1121,3,181
153,924,13,1121,3,183
154,922,13,1121,3,183
155,922,13,1121,3,183
156,922,13,1121,3,185
157,920,13,1121,3,185
158,920,13,1121,3,186
159,919,13,1121,3,187
160,918,13,1121,3,187
161,918,13,1121,3,188
162,917,13,1121,3,190
163,915,13,1121,3,190
164,915,13,1121,3,192
165,913,13,1121,3,195
166,911,13,1122,3,196
167,910,13,1122,3,196
168,912,13,1124,3,197
169,911,13,1124,3,197
170,911,13,1124,3,197
171,911,13,1124,3,201
172,908,13,1125,3,203
173,906,13,1125,3,205
174,904,13,1125,3,208
175,901,13,1125,3,209
176,900,13,1125,3,209
177,900,13,1125,3,210
178,902,13,1128,3,211
179,902,13,1129,3,211
180,902,13,1129,3,213
181,900,13,1129,3,215
182,901,13,1132,3,215
183,901,13,1132,3,216
184,902,13,1134,3,218
185,902,13,1136,3,218
186,902,13,1136,3,219
187,901,13,1136,3,219
188,901,13,1136,3,220
189,900,13,1136,3,220
190,900,13,1136,3,224
191,896,13,1136,3,227
192,893,13,1136,3,227
193,893,13,1136,3,227
194,893,13,1136,3,228
195,894,13,1138,3,230
196,892,13,1138,3,230
197,892,13,1138,3,232
198,892,13,1140,3,234
199,890,13,1140,3,234
200,890,13,1140,3,236
201,888,13,1140,3,236
202,891,13,1143,3,240
203,887,13,1143,3,241
204,886,13,1143,3,242
205,885,13,1143,3,247
206,880,13,1143,3,248
207,882,13,1146,3,249
208,882,13,1147,3,251
209,882,13,1149,3,251
210,882,13,1149,3,251
211,882,13,1149,3,253
212,881,13,1150,3,254
213,883,13,1153,3,255
214,882,13,1153,3,256
215,881,13,1153,3,257
216,883,13,1156,3,258
217,884,13,1158,3,258
218,884,13,1158,3,260
219,885,13,1161,3,262
220,883,13,1161,3,264
221,881,13,1161,3,265
222,882,13,1163,3,267
223,882,13,1165,3,268
224,881,13,1165,3,269
225,882,13,1167,3,269
226,882,13,1167,3,270
227,884,13,1170,3,270
228,884,13,1170,3,270
229,884,13,1170,3,271
230,884,13,1171,3,273
231,885,13,1174,3,273
232,885,13,1174,3,274
233,884,13,1174,3,278
234,883,13,1177,3,280
235,881,13,1177,3,283
236,878,13,1177,3,284
237,877,13,1177,3,284
238,877,13,1177,3,286
239,875,13,1177,3,286
240,875,13,1177,3,288
241,873,13,1177,3,289
242,872,13,1177,3,290
243,871,13,1177,3,291
244,872,13,1179,3,292
245,871,13,1179,3,294
246,870,13,1180,3,295
247,869,13,1180,3,299
248,868,13,1183,3,300
249,867,13,1183,3,301
250,866,13,1183,3,301
251,866,13,1183,3,302
252,865,13,1183,3,304
253,864,13,1184,3,304
254,867,13,1187,3,307
255,864,13,1187,3,307
256,864,13,1187,3,307
257,865,13,1188,3,307
258,865,13,1188,3,309
259,863,13,1188,3,311
260,862,13,1189,3,313
261,863,13,1192,3,313
262,865,13,1194,3,313
263,865,13,1194,3,314
264,867,13,1197,3,315
265,869,13,1200,3,316
266,868,13,1200,3,318
267,866,13,1200,3,320
268,864,13,1200,3,322
269,863,13,1201,3,322
270,863,13,1201,3,323
271,864,13,1203,3,324
272,865,13,1205,3,324
273,865,13,1205,3,327
274,863,13,1206,3,327
275,865,13,1208,3,328
276,864,13,1208,3,329
277,864,13,1209,3,333
278,860,13,1209,3,333
279,861,13,1210,3,334
280,860,13,1210,3,335
281,859,13,1210,3,335
282,859,13,1210,3,336
283,859,13,1211,3,337
284,861,13,1214,3,341
285,857,13,1214,3,342
286,857,13,1215,3,344
287,857,13,1217,3,345
288,856,13,1217,3,347
289,854,13,1217,3,348
290,855,13,1219,3,348
