cycle,queueSize,serverCount,totalGenerated,totalBlocked,totalProcessed
# cycle 1: added server
1,497,6,502,0,0
2,497,6,503,0,0
3,498,6,504,0,0
4,498,6,504,0,0
5,498,6,504,0,0
6,498,6,504,0,1
# cycle 7: added server
7,497,7,504,0,2
8,495,7,504,0,2
9,495,7,504,0,5
10,492,7,504,0,5
11,493,7,505,0,7
12,491,7,505,0,8
13,490,7,505,0,9
14,489,7,505,0,9
15,489,7,505,0,11
16,487,7,505,0,11
17,489,7,507,0,12
18,488,7,507,0,13
19,487,7,507,0,13
20,487,7,507,0,13
21,487,7,507,0,14
22,486,7,507,0,14
23,486,7,507,0,15
24,486,7,508,0,17
25,484,7,508,0,18
26,483,7,508,0,18
27,483,7,508,0,18
28,483,7,508,0,18
29,483,7,508,0,18
30,483,7,508,0,19
31,483,7,509,0,20
32,482,7,509,0,20
33,484,7,511,0,20
34,484,7,511,0,21
35,483,7,511,0,22
36,482,7,511,0,23
37,482,7,512,0,23
38,484,7,514,0,24
39,484,7,515,0,25
40,485,7,517,0,25
41,485,7,517,0,26
42,484,7,517,0,27
43,483,7,517,0,27
44,483,7,517,0,30
45,482,7,519,0,31
46,482,7,520,0,31
47,482,7,520,0,31
48,482,7,520,0,32
49,482,7,521,0,32
50,482,7,521,0,32
51,482,7,521,0,33
52,481,7,521,0,34
53,481,7,522,0,35
54,480,7,522,0,36
55,479,7,522,0,36
56,479,7,522,0,38
57,478,7,523,0,38
58,479,7,524,0,41
59,476,7,524,0,41
60,476,7,524,0,41
61,477,7,525,0,41
62,477,7,525,0,42
63,476,7,525,0,42
64,476,7,525,0,44
65,474,7,525,0,45
66,475,7,527,0,46
67,474,7,527,0,49
68,471,7,527,0,49
69,471,7,527,0,49
70,471,7,527,0,49
71,471,7,527,0,49
72,472,7,528,0,51
73,472,7,530,0,51
74,472,7,530,0,51
75,472,7,530,0,52
76,471,7,530,0,53
77,470,7,530,0,53
78,470,7,530,0,56
79,467,7,530,0,57
80,467,7,531,0,58
81,466,7,531,0,58
82,467,7,532,0,58
83,467,7,532,0,58
84,467,7,532,0,59
85,467,7,533,0,60
86,466,7,533,0,61
87,465,7,533,0,62
88,464,7,533,0,63
89,464,7,534,0,63
90,467,7,537,0,64
91,466,7,537,0,65
92,466,7,538,0,66
93,465,7,538,0,66
94,465,7,538,0,67
95,464,7,538,0,67
96,464,7,538,0,67
97,464,7,538,0,68
98,463,7,538,0,68
