cycle,queueSize,serverCount,totalGenerated,totalBlocked,totalProcessed
# cycle 1: added server
1,495,6,501,1,0
2,496,6,503,1,0
3,496,6,503,1,1
4,496,6,504,1,1
5,497,6,505,1,1
6,497,6,505,1,2
# cycle 7: added server
7,496,7,505,1,2
8,495,7,505,1,3
9,495,7,506,1,3
10,495,7,506,1,4
11,494,7,506,1,5
12,493,7,506,1,6
13,493,7,507,1,8
14,491,7,507,1,9
15,492,7,509,1,9
16,493,7,510,1,11
17,492,7,511,1,11
18,492,7,511,1,12
19,491,7,511,1,13
20,491,7,512,1,14
21,490,7,512,1,15
22,489,7,512,1,15
23,489,7,512,1,16
24,489,7,513,1,16
25,489,7,513,1,16
26,489,7,513,1,17
27,489,7,514,1,18
28,488,7,514,1,19
29,487,7,514,1,20
30,486,7,514,1,20
31,486,7,514,1,20
32,486,7,514,1,21
33,485,7,514,1,22
34,486,7,516,1,22
35,486,7,516,1,22
36,488,7,518,1,23
37,487,7,518,1,23
38,487,7,518,1,23
39,487,7,518,1,23
40,487,7,518,1,24
41,486,7,518,1,25
42,485,7,518,1,26
43,484,7,518,1,27
44,484,7,519,1,27
45,484,7,519,1,28
46,483,7,519,1,28
47,483,7,519,1,29
48,482,7,519,1,30
49,481,7,519,1,31
50,480,7,519,1,32
51,479,7,519,1,34
52,477,7,519,1,35
53,477,7,520,1,35
54,478,7,521,1,36
55,477,7,521,1,36
56,477,7,521,1,37
57,476,7,521,1,37
58,476,7,521,1,38
59,475,7,521,1,38
60,475,7,521,1,38
61,478,7,524,1,38
62,481,7,527,1,38
63,481,7,527,1,40
64,481,7,529,1,40
65,481,7,529,1,40
66,481,7,529,1,40
67,481,7,529,1,41
68,481,7,530,1,41
69,481,7,530,1,44
70,480,7,532,1,44
71,480,7,532,1,45
72,481,7,534,1,45
73,481,7,534,1,46
74,482,7,536,1,47
75,481,7,536,1,48
76,480,7,536,1,48
77,481,7,537,1,48
78,481,7,537,1,49
79,481,7,538,1,49
80,481,7,538,1,50
81,480,7,538,1,52
82,478,7,538,1,52
83,479,7,539,1,53
84,479,7,540,1,54
85,478,7,540,1,55
86,478,7,541,1,56
87,477,7,541,1,58
88,476,7,542,1,60
89,475,7,543,1,60
90,475,7,543,1,60
91,477,7,545,1,60
92,477,7,545,1,60
93,477,7,545,1,60
94,478,7,546,1,61
95,478,7,547,1,61
96,479,7,548,1,62
97,478,7,548,1,62
98,478,7,548,1,62
99,478,7,548,1,63
100,477,7,548,1,64
101,476,7,548,1,64
102,476,7,548,1,64
103,476,7,548,1,64
104,478,7,550,1,66
105,477,7,551,1,66
106,477,7,551,1,66
107,477,7,551,1,66
108,478,7,552,1,68
109,476,7,552,1,68
110,477,7,553,1,70
111,475,7,553,1,70
112,477,7,555,1,71
113,477,7,556,1,71
114,477,7,556,1,71
115,477,7,556,1,72
116,477,7,557,1,72
117,477,7,557,1,74
118,475,7,557,1,74
119,476,7,558,1,75
120,477,7,560,1,75
121,477,7,560,1,75
122,478,7,561,1,75
123,478,7,561,1,75
124,478,7,561,1,78
125,475,7,561,1,78
126,475,7,561,1,78
127,476,7,562,1,78
128,476,7,562,1,80
129,474,7,562,1,80
130,476,7,564,1,80
131,476,7,564,1,80
132,476,7,564,1,81
133,476,7,565,1,81
134,479,7,568,1,81
135,480,7,569,1,83
136,478,7,569,1,85
137,476,7,569,1,86
138,475,7,569,1,87
139,474,7,569,1,87
140,475,7,570,1,87
141,475,7,570,1,88
142,475,7,571,1,88
143,475,7,571,1,91
144,472,7,571,1,92
145,471,7,571,1,93
146,470,7,571,1,93
147,471,7,572,1,93
148,473,7,574,1,94
149,472,7,574,1,95
150,471,7,574,1,95
151,474,7,577,1,97
152,473,7,578,1,98
153,473,7,579,1,98
154,473,7,579,1,99
155,473,7,580,1,101
156,471,7,580,1,101
157,474,7,583,1,102
158,473,7,583,1,102
159,473,7,583,1,102
160,473,7,583,1,102
161,476,7,586,1,103
162,475,7,586,1,106
163,472,7,586,1,107
164,471,7,586,1,107
165,472,7,587,1,108
166,471,7,587,1,109
167,471,7,588,1,109
168,471,7,588,1,109
169,471,7,588,1,111
170,469,7,588,1,111
171,469,7,588,1,111
172,470,7,589,1,111
173,470,7,589,1,111
174,470,7,589,1,112
175,472,7,592,1,112
176,473,7,593,1,112
177,474,7,594,1,112
178,474,7,594,1,113
179,473,7,594,1,115
180,471,7,594,1,115
181,471,7,594,1,115
182,471,7,594,1,115
183,472,7,595,1,118
184,471,7,597,1,119
185,470,7,597,1,121
186,468,7,597,1,121
187,469,7,598,1,121
188,470,7,599,1,123
189,470,7,601,1,124
190,469,7,601,1,124
191,469,7,601,1,124
192,471,7,603,1,125
193,470,7,603,1,125
194,472,7,605,1,127
195,470,7,605,1,127
196,470,7,605,1,128
197,469,7,605,1,128
198,469,7,605,1,130
199,468,7,606,1,131
200,467,7,606,1,131
201,467,7,606,1,131
202,468,7,607,1,131
203,468,7,607,1,133
204,466,7,607,1,134
205,465,7,607,1,134
206,465,7,607,1,134
207,465,7,607,1,136
208,463,7,607,1,137
209,462,7,607,1,137
210,463,7,608,1,138
211,462,7,608,1,139
212,461,7,608,1,139
213,461,7,608,1,139
214,461,7,608,1,140
215,460,7,608,1,141
216,459,7,608,1,141
217,460,7,609,1,142
218,459,7,609,1,142
219,460,7,610,1,144
220,458,7,610,1,146
221,456,7,610,1,147
222,455,7,610,1,150
223,453,7,611,1,150
224,454,7,612,1,151
225,453,7,612,1,152
226,452,7,612,1,153
227,451,7,612,1,154
228,451,7,613,1,154
229,451,7,613,1,154
230,452,7,614,1,155
231,451,7,614,1,156
232,451,7,615,1,156
233,452,7,616,1,156
234,452,7,616,1,156
